# 43 windows of real detrended PPG, captured from the wrist overnight 2026-08-08 --
# the first night the capture path reached the phone (a u8 sample count could not
# express 256, so every earlier window was discarded as malformed).
# truth_bpm is the dominant spectral peak in 30-214 bpm, computed independently of
# the autocorrelation the estimator uses, so it cannot rubber-stamp the estimator's
# own mistakes. It is not an ECG; treat a disagreement as a question, not a verdict.
# Samples are int8, already detrended and scaled by the firmware.
time,truth_bpm,samples
2026-08-08 01:39:48,70,16 29 25 37 34 10 -6 -9 -21 -17 -24 -32 -28 -32 -35 -39 -27 -26 -18 -2 7 31 19 36 52 48 32 17 -7 -7 -14 -6 -18 -21 -29 -29 -28 -16 -24 -12 -7 13 5 30 38 58 67 27 27 24 -24 -24 -12 -23 -23 -23 -22 -14 -18 -13 -1 7 16 8 40 48 73 33 33 22 -10 -38 -29 -25 -17 -48 -32 -12 -32 -7 -23 9 2 14 10 23 47 31 4 4 -8 -8 -15 -43 -23 -30 -14 -34 -25 -1 -17 12 0 20 12 37 49 45 38 46 22 -1 3 -37 -28 -24 -16 -52 -23 -39 -15 -26 -14 -2 -5 31 15 36 56 48 48 29 1 -3 -6 -30 -50 -29 -25 -33 -40 -12 -8 0 -3 9 -3 6 34 30 63 51 23 12 8 -20 -27 -23 -23 -19 -38 -26 -38 -17 -1 -17 4 16 20 33 29 33 41 -2 -22 -10 -45 -37 -37 -56 -52 -32 -48 -43 -31 -35 -26 -18 10 7 7 31 44 44 52 53 33 17 -23 -30 -30 -50 -45 -57 -45 -40 -56 -44 -27 -11 -7 1 2 10 18 63 51 47 76 76 88 41 45 21 5 6 -10 14 -1 15 7 -4 -8 0 33 33 17 33 2 -30 -54 -69 -61 -45 -16 -8 -12 17 -7 -11 1 14 -2 18 27 27
2026-08-08 02:27:09,64,-75 -91 -89 -88 -96 -95 -97 -80 -86 -88 -85 -79 -70 -64 -56 -63 -49 -52 -56 -49 -35 -41 -42 -40 -45 -53 -57 -58 -54 -45 -47 -52 -46 -48 -35 -33 -32 -28 -14 -23 -5 4 -2 15 7 9 22 8 -5 -3 -7 -2 -6 1 3 8 8 8 17 21 14 30 27 23 37 40 38 47 47 45 26 32 35 39 36 38 28 45 37 40 50 50 49 49 46 56 61 61 59 76 74 67 55 53 46 46 47 47 44 32 36 35 29 48 38 38 41 47 44 50 53 51 63 56 60 65 45 47 36 24 23 31 28 8 16 11 13 14 20 10 15 17 20 20 39 33 39 54 44 43 39 38 14 26 15 17 4 4 2 7 5 4 0 11 19 23 12 22 29 31 33 40 32 35 27 14 10 4 -3 11 0 6 4 -1 -5 6 14 19 15 17 18 20 33 27 33 24 12 7 -1 -8 -18 -10 -19 -21 -18 -12 -24 -19 -21 -6 -14 -7 -1 -1 2 2 7 11 -5 -4 -26 -25 -41 -32 -52 -44 -39 -51 -48 -46 -44 -31 -39 -24 -30 -25 -25 -15 -18 -14 -3 -15 -36 -44 -52 -45 -61 -46 -48 -44 -53 -47 -42 -50 -45 -35 -45 -28 -34 -29 -23 -13 -22 -26 -49 -47
2026-08-08 02:39:47,60,-27 -31 -32 -12 -16 -9 31 2 26 22 21 -7 -3 -36 -48 -61 -65 -93 -70 -78 -50 -67 -75 -72 -68 -64 -61 -41 -42 -14 -2 -15 5 5 16 16 -9 -9 -53 -50 -50 -66 -75 -59 -48 -72 -68 -61 -69 -54 -62 -38 -31 -39 -15 -4 20 11 19 39 50 42 10 -7 -31 -28 -12 -20 -25 -29 -22 -14 -30 -23 -15 1 12 8 11 11 31 22 38 50 65 69 44 40 20 19 27 18 34 18 25 25 9 16 36 23 31 39 62 38 86 81 89 104 100 92 111 75 46 22 26 -3 1 25 -4 -4 -5 -13 3 6 2 34 9 21 36 40 56 55 75 74 86 98 77 65 49 24 12 15 -5 -5 -10 10 -10 -7 -7 0 4 -4 19 27 31 18 34 53 57 73 80 80 83 43 51 10 14 22 13 21 28 12 0 15 15 6 14 6 1 37 45 44 60 43 71 67 50 38 22 -15 -31 -20 -24 -28 -25 -29 -29 -30 -22 -27 -7 -3 -4 -12 -5 19 27 18 18 46 49 41 36 0 -16 -25 -29 -29 -58 -70 -59 -59 -51 -60 -48 -69 -41 -69 -50 -30 -18 -27 -31 4 16 16 3 23 18 2 -30 -47 -59 -55 -80 -76 -73 -65 -85 -78 -82 -70 -75 -75 -52 -68
2026-08-08 02:47:44,56,-42 -44 -40 -36 -50 -32 -28 -28 -22 -28 -17 -9 -1 -9 5 -21 -17 -19 -33 -35 -30 -32 -30 -34 -28 -26 -30 -32 -28 -13 -19 -19 -21 -19 -13 -5 -5 -1 -9 2 2 8 14 -4 -6 -14 -20 -18 -14 -15 -13 -17 -13 -7 -9 -7 -17 -1 -1 6 12 4 6 22 12 16 30 22 25 33 29 17 13 13 11 13 11 -1 6 2 -4 4 18 0 12 10 18 16 19 17 13 23 25 31 29 31 19 34 26 20 16 10 14 14 12 14 4 11 13 23 17 21 25 31 31 41 35 46 48 46 52 52 58 66 44 52 43 41 27 31 29 33 23 19 23 13 22 20 18 14 34 32 24 26 32 28 39 39 39 53 45 37 27 17 17 1 4 4 -2 -2 -6 -6 -12 -12 -8 -6 -11 -17 -9 -15 -11 -3 -13 -9 -17 0 -6 -6 -20 -30 -34 -38 -40 -42 -52 -37 -33 -45 -39 -45 -41 -45 -43 -31 -33 -30 -32 -34 -28 -18 -18 -20 -10 -16 -17 -13 -17 -37 -33 -25 -37 -39 -43 -45 -30 -32 -34 -32 -36 -20 -24 -20 -18 -24 1 -7 -1 3 -1 3 7 19 7 26 8 4 2 -2 -8 -2 -6 -2 4 1 -1 3 5 13 5 11 11 11 23 24 20 34
2026-08-08 02:59:49,58,-39 -63 -70 -49 -61 -72 -68 -79 -58 -66 -61 -53 -48 -24 -55 -22 -22 -37 -9 -8 -15 13 26 30 35 23 56 37 17 -18 -22 -37 -16 -24 -19 -15 -22 -38 -37 -32 -28 -43 -23 -10 -22 -9 8 12 21 13 26 11 35 56 40 17 -7 -10 -29 -17 -16 -12 -27 -34 -14 -13 -33 -24 -24 -31 -26 -14 -9 -21 -4 12 9 18 18 27 7 -24 -15 -27 -38 -46 -33 -41 -44 -35 -47 -26 -50 -21 -33 -44 -11 -7 18 18 15 28 24 41 37 54 38 43 16 -16 -27 -31 -22 -5 7 4 -8 13 -7 18 11 31 40 28 37 54 66 87 63 60 100 89 102 86 39 51 40 21 37 42 38 31 39 44 25 45 50 46 55 51 48 53 65 78 62 63 96 100 97 69 58 34 23 28 12 29 25 6 22 7 0 4 13 1 30 15 51 36 56 53 49 82 83 75 60 56 29 -2 10 -13 -1 12 -4 -15 -14 -2 7 7 12 9 25 22 30 43 39 40 41 53 62 34 55 23 4 -11 -19 -14 -42 -49 -28 -52 -55 -23 -34 -30 -41 -44 -48 -11 -23 -30 -6 -5 -24 -20 -15 -7 -14 -41 -57 -60 -84 -103 -107 -94 -85 -81 -100 -100 -107 -102 -98 -101 -89 -76 -68 -99
2026-08-08 03:07:34,55,-27 -24 -17 -26 -7 -11 -24 -1 -6 -2 9 8 -1 -2 10 -27 -44 -29 -50 -46 -39 -44 -49 -33 -46 -55 -40 -29 -21 -26 -23 -44 -36 -17 -14 -3 -12 -4 7 10 29 -24 -60 -49 -42 -55 -51 -60 -33 -50 -47 -47 -44 -37 -38 -50 -27 -16 -41 -38 -26 -27 -16 -5 -17 -2 -7 8 -17 -25 -38 -43 -24 -40 -29 -42 -15 -24 -16 -49 -30 -11 -8 0 -9 -2 5 5 8 7 26 13 37 40 47 34 22 9 -4 27 14 34 41 32 31 18 50 37 24 43 43 42 49 52 51 47 66 61 68 68 67 66 41 48 40 43 38 61 53 44 43 58 45 37 64 51 58 66 49 56 55 70 62 53 92 75 102 70 65 68 51 35 18 33 28 27 31 18 17 32 20 35 26 21 24 32 31 38 17 21 36 39 34 45 53 72 47 10 29 1 12 7 2 2 -3 -4 15 10 -6 5 -8 11 11 10 1 4 -5 -1 26 17 28 16 19 18 33 12 -4 -21 -30 -19 -24 -36 -37 -38 -27 -35 -44 -17 -50 -31 -27 -16 -17 -18 -14 -31 4 -5 -10 -10 -23 -24 -21 -14 -58 -63 -72 -61 -65 -70 -75 -80 -73 -69 -42 -59 -72 -52 -73 -70 -71 -56 -40 -57 -54 -59
2026-08-08 03:19:36,38,58 64 64 53 54 39 35 29 27 26 22 18 17 20 19 18 17 22 23 24 25 33 32 32 35 41 41 51 50 40 33 30 16 18 10 9 14 13 11 7 9 7 10 12 16 18 21 19 26 27 26 35 34 25 13 6 -2 -6 -9 -5 -13 -13 -12 -13 -11 -11 -17 -7 -5 -5 1 1 1 4 7 12 17 7 3 -14 -15 -28 -31 -32 -32 -27 -28 -34 -31 -32 -29 -26 -28 -24 -30 -23 -20 -21 -14 -11 -14 -22 -33 -41 -42 -49 -46 -49 -47 -41 -46 -51 -54 -47 -41 -39 -33 -30 -38 -45 -53 -52 -35 -30 -42 -59 -73 -70 -76 -78 -78 -73 -70 -63 -52 -50 -48 -38 -36 -33 -27 -7 46 59 44 45 36 22 10 1 4 -5 -2 -4 -7 -10 -25 -44 -55 -42 -39 -43 -43 -48 -42 -34 -28 -34 -22 -31 -34 -32 -23 -23 -20 -15 -12 -12 -3 2 8 17 21 28 21 13 7 3 -5 1 0 6 6 7 10 16 13 23 20 28 37 35 23 15 8 4 3 2 8 9 6 4 10 9 11 20 18 23 32 24 15 11 -7 -6 -11 -3 3 5 10 10 10 12 13 21 26 28 38 34 34 19 19 11 17 17 20 21 27 28 33 43 47 50 53 61 70 76
2026-08-08 03:29:48,56,-8 -18 -9 -13 -10 -10 -13 -17 -8 -4 -1 3 0 4 9 21 28 32 33 41 46 62 55 33 18 2 -7 1 -2 -2 -5 -5 -4 -10 -5 -7 -4 4 5 11 19 14 26 33 41 36 42 53 35 12 -8 -9 -21 -20 -24 -33 -27 -44 -34 -29 -33 -34 -34 -27 -17 -6 -8 -3 9 2 16 17 35 36 32 39 19 -6 -22 -27 -37 -35 -36 -46 -43 -45 -44 -50 -49 -47 -40 -34 -25 -27 -16 -10 -1 1 4 16 17 31 32 24 -3 -23 -20 -34 -47 -37 -34 -24 -33 -35 -42 -40 -37 -31 -26 -20 -19 -1 -5 -4 12 21 25 36 36 53 23 18 0 -13 -15 -14 -12 -9 -19 -24 -18 -9 -11 -10 -14 1 9 14 6 19 25 26 30 41 49 48 44 15 -1 -4 -12 -9 -5 -13 -8 -8 -11 -9 -4 4 9 3 8 16 25 29 34 38 49 47 62 68 67 47 28 4 5 -9 -12 -18 -9 -25 -28 -20 -23 -19 -16 -4 -1 -3 2 8 17 11 21 26 36 37 35 52 44 33 5 -4 -10 -21 -21 -34 -28 -35 -35 -36 -32 -35 -31 -20 -14 -11 -13 4 2 -1 13 12 12 35 43 36 24 9 -3 -14 -30 -17 -23 -26 -20 -22 -25 -23 -22 -18 -3 3 8 -2
2026-08-08 03:38:11,54,25 19 13 4 0 6 6 5 -1 -4 -2 6 4 -1 6 7 12 13 20 22 19 27 33 33 37 28 25 13 8 2 -4 -5 -2 -9 -7 -7 -9 -8 -4 1 2 -2 3 2 5 11 15 12 22 23 29 32 25 16 9 1 -6 -8 -11 -7 -5 -12 -6 -11 -13 -13 -11 -11 -7 -7 -1 3 0 5 9 12 18 19 17 8 -1 -10 -23 -26 -29 -25 -24 -26 -29 -31 -36 -28 -25 -29 -27 -25 -19 -17 -13 -11 -13 -3 0 -1 -1 8 11 6 1 -13 -14 -23 -26 -27 -25 -26 -22 -26 -25 -30 -28 -26 -23 -25 -21 -16 -15 -9 -3 1 5 4 7 10 13 15 6 -3 -8 -17 -17 -17 -16 -15 -16 -18 -15 -19 -14 -11 -13 -8 -2 -3 -1 8 7 11 14 18 24 28 27 18 13 6 3 5 3 3 -2 1 1 0 -2 0 4 4 7 7 8 9 14 17 19 23 26 28 28 18 10 5 -2 -6 -7 -11 -11 -12 -14 -11 -13 -17 -18 -13 -17 -7 -9 -6 -4 -2 3 10 13 15 19 17 10 -2 -7 -10 -14 -21 -25 -27 -25 -29 -25 -24 -25 -27 -23 -21 -17 -18 -11 -10 -7 -5 -8 -2 -2 3 5 2 -3 9 65 63 55 51 48 39 37 33 29 25
2026-08-08 03:47:47,54,-31 -25 -44 -40 -41 -49 -44 -51 -59 -48 -50 -51 -55 -46 -54 -41 -45 -26 -30 -23 -27 -12 -10 3 7 16 22 19 17 14 -2 -1 -9 -24 -18 -31 -27 -28 -29 -23 -20 -32 -17 -29 -18 -12 -11 -7 4 -2 3 13 18 22 35 47 50 34 31 21 16 -2 -11 3 6 2 11 16 10 3 5 12 16 19 21 26 32 33 35 38 46 57 51 64 42 33 21 12 4 3 3 0 -10 -9 -9 -16 -16 -11 -10 -4 -7 -1 4 12 19 5 22 24 25 27 28 40 37 29 12 4 -7 -17 -20 -18 -9 -25 -18 -18 -9 -13 -18 -18 -11 -4 4 7 9 12 28 21 27 42 52 47 55 40 36 33 31 12 4 9 11 10 -6 3 7 -8 4 5 13 16 14 25 25 34 35 37 50 50 61 49 42 30 15 5 8 0 -3 -11 4 -4 3 5 2 2 3 3 10 14 5 19 16 24 29 38 38 45 29 18 10 5 -15 -20 -22 -9 -19 -18 -36 -31 -21 -30 -32 -25 -29 -20 -10 -15 -9 -10 -2 9 13 16 12 5 -16 -12 -19 -37 -46 -38 -39 -35 -42 -36 -43 -41 -48 -42 -31 -27 -34 -26 -25 -21 -14 -2 -1 7 10 -2 -3 -25 -34 -38 -33 -28 -24 -19
